feature,importance
chroma_std,0.016300043996857128
chroma_mean,0.012996834130174996
mfcc_7_std,0.012932634217132867
spectral_contrast_2_mean,0.011370292463939013
spectral_contrast_1_mean,0.011020903786853678
mfcc_14_std,0.010928263057321703
mfcc_11_std,0.01053263323877842
mfcc_0_std,0.010324840841283354
mfcc_2_skew,0.010241169329973028
spectral_bandwidth_std,0.010167042551127438
mfcc_0_mean,0.010057886781153663
mfcc_8_kurtosis,0.009969693249005093
mfcc_12_std,0.00995331102670619
mfcc_12_mean,0.009799798422325942
mfcc_13_std,0.009489482723708156
spectral_centroid_std,0.009233613815922711
zcr_kurtosis,0.009162892966622527
mfcc_8_std,0.0089683294795542
