accuracy,loss,val_accuracy,val_loss
0.36968085169792175,1.3094425201416016,0.3764204680919647,1.2662711143493652
0.496509313583374,1.1431151628494263,0.5461647510528564,1.067116379737854
0.570520281791687,0.9992067217826843,0.5674715638160706,0.9661411643028259
0.6265791058540344,0.8821424245834351,0.5894886255264282,0.9807683825492859
0.673204779624939,0.7857204079627991,0.6384943127632141,0.8967209458351135
0.7107712626457214,0.7024367451667786,0.6292613744735718,0.9284451007843018
0.7464677691459656,0.6150863170623779,0.6505681872367859,0.84421706199646
0.781665563583374,0.5411632061004639,0.6725852489471436,0.7975910305976868
0.810339093208313,0.4733082056045532,0.6946022510528564,0.8325931429862976
0.8345661759376526,0.41559335589408875,0.6917613744735718,0.8122281432151794
0.8609541058540344,0.3561316132545471,0.7308238744735718,0.7716438174247742
0.8737117648124695,0.31976595520973206,0.6889204382896423,0.9387474060058594
0.8963181376457214,0.26884400844573975,0.7194602489471436,0.8607035279273987
0.9074135422706604,0.24037288129329681,0.7379261255264282,0.8848984241485596
0.9221243262290955,0.20498713850975037,0.7350852489471436,0.9766609072685242
0.9292303919792175,0.18341389298439026,0.7308238744735718,1.0695253610610962
0.9395362138748169,0.15928250551223755,0.7073863744735718,1.1494189500808716
0.9397855997085571,0.16101935505867004,0.7230113744735718,1.196407675743103
0.9474318623542786,0.13450421392917633,0.7478693127632141,1.1539255380630493
0.9569897055625916,0.11506571620702744,0.7237215638160706,1.2267791032791138
0.9602726101875305,0.10759888589382172,0.7329545617103577,1.2239724397659302
0.9623919725418091,0.10228527337312698,0.7471590638160706,1.1869606971740723
0.9676695466041565,0.09274084120988846,0.7485795617103577,1.0826058387756348
0.9645944237709045,0.09468682110309601,0.7464488744735718,1.3353958129882812
0.9717420339584351,0.07955028861761093,0.7258522510528564,1.2672871351242065
